source,native,name,p_value,significant,description,term_size,query_size,intersection_size,effective_domain_size,precision,recall,query,parents
GO:MF,GO:0044877,protein-containing complex binding,6.656290551923681e-15,True,"""Binding to a macromolecular complex."" [GOC:jl]",261,76,17,21077,0.2236842105263158,0.0651340996168582,query_1,['GO:0005488']
GO:CC,GO:0099512,supramolecular fiber,1.2137861084815584e-11,True,"""A polymer consisting of an indefinite number of protein or protein complex subunits that have polymerised to form a fiber-shaped structure."" [GOC:dos]",200,56,14,12235,0.25,0.07,query_1,['GO:0099081']
GO:CC,GO:0099081,supramolecular polymer,1.2137861084815584e-11,True,"""A polymeric supramolecular structure."" [GOC:dos]",200,56,14,12235,0.25,0.07,query_1,['GO:0099080']
GO:BP,GO:0006334,nucleosome assembly,1.8120120731502663e-10,True,"""The aggregation, arrangement and bonding together of a nucleosome, the beadlike structural units of eukaryotic chromatin composed of histones and DNA."" [GOC:mah]",39,57,8,14996,0.1403508771929824,0.2051282051282051,query_1,"['GO:0006325', 'GO:0034728', 'GO:0065004']"
GO:BP,GO:0034728,nucleosome organization,1.8120120731502663e-10,True,"""A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of one or more nucleosomes."" [GOC:mah]",39,57,8,14996,0.1403508771929824,0.2051282051282051,query_1,"['GO:0006338', 'GO:0071824']"
GO:CC,GO:0000786,nucleosome,2.9836166587014806e-10,True,"""A complex comprised of DNA wound around a multisubunit core and associated proteins, which forms the primary packing unit of DNA into higher order structures."" [GOC:elh]",166,56,12,12235,0.2142857142857142,0.072289156626506,query_1,"['GO:0000785', 'GO:0032993']"
GO:CC,GO:0099080,supramolecular complex,2.9836166587014806e-10,True,"""A cellular component that consists of an indeterminate number of proteins or macromolecular complexes, organized into a regular, higher-order structure such as a polymer, sheet, network or a fiber."" [GOC:dos]",266,56,14,12235,0.25,0.0526315789473684,query_1,['GO:0110165']
GO:MF,GO:0051015,actin filament binding,3.9815707924286837e-10,True,"""Binding to an actin filament, also known as F-actin, a helical filamentous polymer of globular G-actin subunits."" [ISBN:0198506732]",107,76,10,21077,0.131578947368421,0.0934579439252336,query_1,"['GO:0003779', 'GO:0044877']"
GO:CC,GO:0032993,protein-DNA complex,4.304878432993578e-10,True,"""A macromolecular complex containing both protein and DNA molecules."" [GOC:mah]",176,56,12,12235,0.2142857142857142,0.0681818181818181,query_1,['GO:0032991']
GO:MF,GO:0030527,structural constituent of chromatin,6.78875188305063e-10,True,"""The action of a molecule that contributes to the structural integrity of chromatin."" [GOC:ai]",161,76,11,21077,0.1447368421052631,0.0683229813664596,query_1,['GO:0005198']
GO:MF,GO:0017111,ribonucleoside triphosphate phosphatase activity,7.576872080131194e-10,True,"""Catalysis of the reaction: a ribonucleoside triphosphate + H2O = a ribonucleoside diphosphate + H+ + phosphate."" [RHEA:23680]",768,76,19,21077,0.25,0.0247395833333333,query_1,['GO:0016462']
GO:CC,GO:0005856,cytoskeleton,1.117059508037522e-09,True,"""A cellular structure that forms the internal framework of eukaryotic and prokaryotic cells. The cytoskeleton includes intermediate filaments, microfilaments, microtubules, the microtrabecular lattice, and other structures characterized by a polymeric filamentous nature and long-range order within the cell. The various elements of the cytoskeleton not only serve in the maintenance of cellular shape but also have roles in other cellular functions, including cellular movement, cell division, endocytosis, and movement of organelles."" [GOC:mah, PMID:16959967, PMID:27419875]",587,56,18,12235,0.3214285714285714,0.0306643952299829,query_1,['GO:0043232']
GO:MF,GO:0016462,pyrophosphatase activity,1.2481068955857471e-09,True,"""Catalysis of the hydrolysis of a pyrophosphate bond (diphosphate bond) between two phosphate groups."" [GOC:curators, https://en.wikipedia.org/wiki/Pyrophosphatase]",805,76,19,21077,0.25,0.0236024844720496,query_1,['GO:0016818']
GO:MF,GO:0016818,"hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides",1.2481068955857471e-09,True,"""Catalysis of the hydrolysis of any acid anhydride which contains phosphorus."" [GOC:jl]",815,76,19,21077,0.25,0.0233128834355828,query_1,['GO:0016817']
GO:MF,GO:0016817,"hydrolase activity, acting on acid anhydrides",1.2481068955857471e-09,True,"""Catalysis of the hydrolysis of any acid anhydride."" [GOC:jl]",817,76,19,21077,0.25,0.0232558139534883,query_1,['GO:0016787']
GO:BP,GO:0071824,protein-DNA complex organization,1.990773362897128e-09,True,"""Any process in which macromolecules aggregate, disaggregate, or are modified, resulting in the formation, disassembly, or alteration of a protein-DNA complex."" [GOC:mah]",56,57,8,14996,0.1403508771929824,0.1428571428571428,query_1,['GO:0043933']
GO:BP,GO:0065004,protein-DNA complex assembly,1.990773362897128e-09,True,"""The aggregation, arrangement and bonding together of proteins and DNA molecules to form a protein-DNA complex."" [GOC:jl]",56,57,8,14996,0.1403508771929824,0.1428571428571428,query_1,"['GO:0065003', 'GO:0071824']"
GO:MF,GO:0003924,GTPase activity,1.076323964619002e-08,True,"""Catalysis of the reaction: GTP + H2O = GDP + H+ + phosphate."" [PMID:26832457, PMID:27218782]",444,76,14,21077,0.1842105263157894,0.0315315315315315,query_1,['GO:0017111']
GO:MF,GO:0017076,purine nucleotide binding,1.5669252288333573e-08,True,"""Binding to a purine nucleotide, a compound consisting of a purine nucleoside esterified with (ortho)phosphate."" [GOC:ai]",2695,76,31,21077,0.4078947368421052,0.0115027829313543,query_1,['GO:0000166']
GO:CC,GO:0099513,polymeric cytoskeletal fiber,1.5840090107032612e-08,True,"""A component of the cytoskeleton consisting of a homo or heteropolymeric fiber constructed from an indeterminate number of protein subunits."" [GOC:dos]",145,56,10,12235,0.1785714285714285,0.0689655172413793,query_1,"['GO:0005856', 'GO:0099512']"
GO:MF,GO:0005525,GTP binding,1.6858972016527707e-08,True,"""Binding to GTP, guanosine triphosphate."" [GOC:ai]",652,76,16,21077,0.2105263157894736,0.0245398773006134,query_1,"['GO:0032561', 'GO:0035639']"
GO:MF,GO:0032561,guanyl ribonucleotide binding,1.7485523425187847e-08,True,"""Binding to a guanyl ribonucleotide, any compound consisting of guanosine esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose moiety."" [GOC:mah]",658,76,16,21077,0.2105263157894736,0.0243161094224924,query_1,"['GO:0019001', 'GO:0032555']"
GO:BP,GO:0006338,chromatin remodeling,1.765607704037278e-08,True,"""A dynamic process of chromatin reorganization resulting in changes to chromatin structure. These changes allow DNA metabolic processes such as transcriptional regulation, DNA recombination, DNA repair, and DNA replication."" [GOC:jid, GOC:vw, PMID:12042764, PMID:12697820]",158,57,10,14996,0.175438596491228,0.0632911392405063,query_1,['GO:0006325']
GO:MF,GO:0035639,purine ribonucleoside triphosphate binding,1.9688501377892872e-08,True,"""Binding to a purine ribonucleoside triphosphate, a compound consisting of a purine base linked to a ribose sugar esterified with triphosphate on the sugar."" [GOC:BHF, GOC:ebc, ISBN:0198506732]",2581,76,30,21077,0.3947368421052631,0.0116234017822549,query_1,"['GO:0043168', 'GO:1901265', 'GO:1901363']"
GO:MF,GO:0032555,purine ribonucleotide binding,2.012440348708416e-08,True,"""Binding to a purine ribonucleotide, any compound consisting of a purine ribonucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose moiety."" [GOC:mah]",2592,76,30,21077,0.3947368421052631,0.011574074074074,query_1,"['GO:0017076', 'GO:0032553']"
